#First case with k = 0.1 and B = 11.0
#u              v              
0.888918        -0.588342      
0.883034        -0.487456      
0.878160        -0.386811      
0.874292        -0.286441      
0.871427        -0.186379      
0.869563        -0.086660      
0.868697        0.012683       
0.868824        0.111619       
0.869940        0.210113       
0.872041        0.308135       
0.875122        0.405650       
0.879179        0.502627       
0.884205        0.599030       
0.890195        0.694828       
0.897144        0.789984       
0.905044        0.884463       
0.913888        0.978228       
0.923670        1.071242       
0.934383        1.163466       
0.946018        1.254858       
0.958566        1.345378       
0.972020        1.434980       
0.986370        1.523620       
1.001606        1.611249       
1.017718        1.697818       
1.034697        1.783273       
1.052529        1.867561       
1.071205        1.950622       
1.090711        2.032397       
1.111035        2.112823       
1.132163        2.191832       
1.154082        2.269354       
1.176775        2.345316       
1.200228        2.419642       
1.224425        2.492249       
1.249347        2.563054       
1.274978        2.631967       
1.301297        2.698898       
1.328286        2.763747       
1.355924        2.826416       
1.384188        2.886799       
1.413056        2.944786       
1.442504        3.000265       
1.472507        3.053117       
1.503038        3.103222       
1.534070        3.150454       
1.565575        3.194684       
1.597521        3.235779       
1.629879        3.273603       
1.662615        3.308018       
1.695695        3.338882       
1.729084        3.366050       
1.762745        3.389378       
1.796638        3.408719       
1.830726        3.423926       
1.864965        3.434850       
1.899313        3.441346       
1.933727        3.443269       
1.968160        3.440474       
2.002564        3.432824       
2.036893        3.420182       
2.071094        3.402418       
2.105119        3.379408       
2.138913        3.351036       
2.172423        3.317192       
2.205595        3.277779       
2.238373        3.232708       
2.270700        3.181904       
2.302519        3.125303       
2.333772        3.062857       
2.364400        2.994534       
2.394346        2.920316       
2.423549        2.840206       
2.451951        2.754223       
2.479493        2.662406       
2.506117        2.564815       
2.531765        2.461532       
2.556381        2.352657       
2.579907        2.238316       
2.602290        2.118653       
2.623477        1.993839       
2.643415        1.864063       
2.662056        1.729537       
2.679351        1.590496       
2.695256        1.447192       
2.709728        1.299900       
2.722727        1.148913       
2.734216        0.994539       
2.744162        0.837105       
2.752533        0.676951       
2.759302        0.514428       
2.764447        0.349899       
2.767946        0.183736       
2.769783        0.016316       
2.769946        -0.151979      
2.768426        -0.320765      
2.765219        -0.489660      
2.760322        -0.658282      
2.753739        -0.826256      
2.745477        -0.993214      
2.735545        -1.158797      
2.723957        -1.322658      
2.710730        -1.484463      
2.695885        -1.643892      
2.679446        -1.800644      
2.661440        -1.954435      
2.641896        -2.105000      
2.620846        -2.252097      
2.598325        -2.395503      
2.574370        -2.535019      
2.549019        -2.670468      
2.522315        -2.801696      
2.494298        -2.928574      
2.465012        -3.050994      
2.434502        -3.168873      
2.402813        -3.282148      
2.369992        -3.390780      
2.336084        -3.494752      
2.301137        -3.594067      
2.265196        -3.688745      
2.228309        -3.778829      
2.190520        -3.864376      
2.151876        -3.945462      
2.112422        -4.022176      
2.072200        -4.094624      
2.031254        -4.162921      
1.989625        -4.227197      
1.947353        -4.287590      
1.904477        -4.344248      
1.861034        -4.397326      
1.817061        -4.446988      
1.772591        -4.493401      
1.727657        -4.536737      
1.682290        -4.577173      
1.636518        -4.614887      
1.590369        -4.650059      
1.543869        -4.682870      
1.497040        -4.713499      
1.449905        -4.742128      
1.402484        -4.768933      
1.354794        -4.794091      
1.306853        -4.817775      
1.258676        -4.840155      
1.210274        -4.861396      
1.161660        -4.881661      
1.112843        -4.901107      
1.063832        -4.919886      
1.014634        -4.938145      
0.965252        -4.956026      
0.915692        -4.973664      
0.865955        -4.991189      
0.816043        -5.008724      
0.765956        -5.026387      
0.715692        -5.044289      
0.665249        -5.062533      
0.614624        -5.081217      
0.563812        -5.100430      
0.512808        -5.120255      
0.461605        -5.140770      
0.410197        -5.162041      
0.358577        -5.184130      
0.306736        -5.207089      
0.254665        -5.230966      
0.202355        -5.255795      
0.149797        -5.281608      
0.096981        -5.308424      
0.043897        -5.336256      
-0.009466       -5.365106      
-0.063117       -5.394968      
-0.117067       -5.425828      
-0.171325       -5.457658      
-0.225901       -5.490425      
-0.280806       -5.524083      
-0.336047       -5.558573      
-0.391632       -5.593829      
-0.447571       -5.629771      
-0.503868       -5.666307      
-0.560531       -5.703333      
-0.617565       -5.740732      
-0.674972       -5.778373      
-0.732756       -5.816111      
-0.790917       -5.853789      
-0.849455       -5.891233      
-0.908367       -5.928253      
-0.967650       -5.964646      
-1.027296       -6.000192      
-1.087298       -6.034654      
-1.147644       -6.067781      
-1.208322       -6.099301      
-1.269315       -6.128930      
-1.330605       -6.156364      
-1.392168       -6.181285      
-1.453981       -6.203356      
-1.516015       -6.222226      
-1.578237       -6.237528      
-1.640612       -6.248880      
-1.703101       -6.255888      
-1.765660       -6.258143      
-1.828241       -6.255228      
-1.890794       -6.246715      
-1.953261       -6.232168      
-2.015582       -6.211148      
-2.077694       -6.183211      
-2.139526       -6.147916      
-2.201005       -6.104823      
-2.262053       -6.053499      
-2.322588       -5.993525      
-2.382524       -5.924492      
-2.441769       -5.846012      
-2.500229       -5.757721      
-2.557806       -5.659281      
-2.614399       -5.550389      
-2.669903       -5.430778      
-2.724210       -5.300223      
-2.777213       -5.158549      
-2.828798       -5.005631      
-2.878854       -4.841400      
-2.927268       -4.665851      
-2.973927       -4.479040      
-3.018717       -4.281093      
-3.061528       -4.072208      
-3.102250       -3.852652      
-3.140777       -3.622772      
-3.177005       -3.382984      
-3.210834       -3.133783      
-3.242172       -2.875735      
-3.270930       -2.609480      
-3.297024       -2.335721      
-3.320382       -2.055232      
-3.340934       -1.768839      
-3.358622       -1.477426      
-3.373397       -1.181922      
-3.385216       -0.883294      
-3.394049       -0.582541      
-3.399874       -0.280684      
-3.402681       0.021243       
-3.402469       0.322200       
-3.399247       0.621155       
-3.393035       0.917087       
-3.383864       1.208998       
-3.371774       1.495923       
-3.356815       1.776936       
-3.339046       2.051156       
-3.318534       2.317756       
-3.295356       2.575967       
-3.269597       2.825087       
-3.241346       3.064476       
-3.210701       3.293571       
-3.177765       3.511876       
-3.142647       3.718974       
-3.105457       3.914516       
-3.066312       4.098232       
-3.025329       4.269920       
-2.982630       4.429448       
-2.938336       4.576752       
-2.892568       4.711830       
-2.845450       4.834740       
-2.797103       4.945595       
-2.747647       5.044558       
-2.697201       5.131839       
-2.645883       5.207688       
-2.593806       5.272392       
-2.541082       5.326269       
-2.487819       5.369665       
-2.434122       5.402946       
-2.380093       5.426498       
-2.325828       5.440720       
-2.271421       5.446021       
-2.216961       5.442816       
-2.162532       5.431523       
-2.108217       5.412560       
-2.054092       5.386343       
-2.000228       5.353282       
-1.946695       5.313781       
-1.893558       5.268234       
-1.840875       5.217026       
-1.788705       5.160528       
-1.737100       5.099100       
-1.686109       5.033087       
-1.635778       4.962821       
-1.586150       4.888619       
-1.537263       4.810782       
-1.489156       4.729598       
-1.441860       4.645338       
-1.395406       4.558258       
-1.349824       4.468602       
-1.305138       4.376595       
-1.261372       4.282453       
-1.218547       4.186374       
-1.176683       4.088546       
-1.135798       3.989144       
-1.095907       3.888329       
-1.057023       3.786252       
-1.019161       3.683053       
-0.982330       3.578862       
-0.946542       3.473798       
-0.911804       3.367973       
-0.878124       3.261489       
-0.845509       3.154440       
-0.813965       3.046912       
-0.783495       2.938986       
-0.754106       2.830734       
-0.725798       2.722225       
-0.698576       2.613521       
-0.672441       2.504677       
-0.647394       2.395747       
-0.623437       2.286779       
-0.600569       2.177816       
-0.578791       2.068900       
-0.558102       1.960067       
-0.538501       1.851353       
-0.519987       1.742789       
-0.502559       1.634405       
-0.486215       1.526228       
-0.470953       1.418284       
-0.456770       1.310597       
-0.443664       1.203189       
-0.431632       1.096081       
-0.420672       0.989292       
-0.410779       0.882842       
-0.401950       0.776749       
-0.394183       0.671029       
-0.387473       0.565698       
-0.381816       0.460773       
-0.377208       0.356269       
-0.373645       0.252201       
-0.371123       0.148583       
-0.369637       0.045429       
-0.369183       -0.057246      
-0.369755       -0.159428      
-0.371350       -0.261103      
-0.373961       -0.362258      
-0.377583       -0.462877      
-0.382212       -0.562948      
-0.387842       -0.662454      
-0.394466       -0.761382      
-0.402080       -0.859716      
-0.410677       -0.957441      
-0.420252       -1.054539      
-0.430797       -1.150994      
-0.442307       -1.246789      
-0.454775       -1.341905      
-0.468194       -1.436321      
-0.482557       -1.530019      
-0.497857       -1.622975      
-0.514087       -1.715167      
-0.531239       -1.806569      
-0.549304       -1.897157      
-0.568276       -1.986900      
-0.588145       -2.075771      
-0.608903       -2.163735      
-0.630540       -2.250759      
-0.653048       -2.336806      
-0.676416       -2.421836      
-0.700634       -2.505806      
-0.725692       -2.588670      
-0.751579       -2.670379      
-0.778283       -2.750881      
-0.805791       -2.830118      
-0.834092       -2.908031      
-0.863173       -2.984554      
-0.893018       -3.059619      
-0.923615       -3.133150      
-0.954946       -3.205070      
-0.986997       -3.275295      
-1.019750       -3.343734      
-1.053187       -3.410293      
-1.087290       -3.474872      
-1.122039       -3.537364      
-1.157412       -3.597657      
-1.193389       -3.655633      
-1.229945       -3.711166      
-1.267057       -3.764127      
-1.304698       -3.814379      
-1.342842       -3.861778      
-1.381460       -3.906175      
-1.420521       -3.947416      
-1.459996       -3.985340      
-1.499849       -4.019780      
-1.540047       -4.050566      
-1.580552       -4.077522      
-1.621328       -4.100467      
-1.662332       -4.119219      
-1.703525       -4.133590      
-1.744860       -4.143391      
-1.786294       -4.148432      
-1.827779       -4.148522      
-1.869264       -4.143470      
-1.910699       -4.133089      
-1.952030       -4.117191      
-1.993201       -4.095595      
-2.034157       -4.068125      
-2.074839       -4.034610      
-2.115185       -3.994891      
-2.155134       -3.948817      
-2.194622       -3.896247      
-2.233584       -3.837056      
-2.271955       -3.771134      
-2.309666       -3.698386      
-2.346650       -3.618737      
-2.382837       -3.532132      
-2.418159       -3.438537      
-2.452544       -3.337942      
-2.485924       -3.230362      
-2.518227       -3.115836      
-2.549385       -2.994434      
-2.579330       -2.866251      
-2.607992       -2.731411      
-2.635306       -2.590071      
-2.661207       -2.442414      
-2.685631       -2.288654      
-2.708518       -2.129037      
-2.729808       -1.963835      
-2.749447       -1.793352      
-2.767380       -1.617916      
-2.783559       -1.437883      
-2.797938       -1.253634      
-2.810474       -1.065571      
-2.821130       -0.874118      
-2.829871       -0.679716      
-2.836668       -0.482820      
-2.841497       -0.283900      
-2.844336       -0.083433      
-2.845170       0.118096       
-2.843989       0.320199       
-2.840787       0.522390       
-2.835563       0.724185       
-2.828321       0.925106       
-2.819070       1.124687       
-2.807823       1.322473       
-2.794599       1.518026       
-2.779418       1.710927       
-2.762309       1.900776       
-2.743301       2.087198       
-2.722429       2.269842       
-2.699731       2.448387       
-2.675247       2.622537       
-2.649022       2.792028       
-2.621101       2.956625       
-2.591535       3.116126       
-2.560374       3.270358       
-2.527670       3.419182       
-2.493479       3.562488       
-2.457854       3.700197       
-2.420852       3.832262       
-2.382529       3.958661       
-2.342942       4.079403       
-2.302148       4.194522       
-2.260203       4.304077       
-2.217162       4.408152       
-2.173081       4.506849       
-2.128012       4.600295       
-2.082009       4.688631       
-2.035123       4.772018       
-1.987403       4.850629       
-1.938897       4.924652       
-1.889650       4.994284       
-1.839707       5.059734       
-1.789110       5.121218       
-1.737898       5.178958       
-1.686108       5.233180       
-1.633776       5.284116       
-1.580935       5.331996       
-1.527615       5.377055       
-1.473845       5.419525       
-1.419649       5.459637       
-1.365053       5.497618       
-1.310077       5.533695       
-1.254740       5.568088       
-1.199059       5.601012       
-1.143049       5.632676       
-1.086722       5.663283       
-1.030089       5.693030       
-0.973159       5.722105       
-0.915938       5.750687       
-0.858431       5.778948       
-0.800642       5.807050       
-0.742571       5.835147       
-0.684220       5.863382       
-0.625586       5.891888       
-0.566667       5.920787       
-0.507459       5.950193       
-0.447957       5.980206       
-0.388155       6.010916       
-0.328046       6.042400       
-0.267622       6.074725       
-0.206875       6.107944       
-0.145795       6.142098       
-0.084374       6.177215       
-0.022602       6.213309       
0.039531        6.250379       
0.102035        6.288411       
0.164919        6.327375       
0.228193        6.367227       
0.291865        6.407904       
0.355944        6.449330       
0.420437        6.491407       
0.485351        6.534023       
0.550691        6.577046       
0.616462        6.620324       
0.682665        6.663686       
0.749302        6.706939       
0.816371        6.749870       
0.883870        6.792244       
0.951793        6.833801       
